Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Enc1	12	4499	497	2273	[2269, 2273, 2262, 0]	[1.53274106319156e-11, 0.9814011514128684, 4.932456793194494e-10, 0.018598848078558522]
Pcp4	26	4499	401	2279	[2279, 2259, 2269, 0]	[0.9476805409364285, 2.562581065110959e-08, 4.2858095007714364e-77, 0.0523194334377607]
Nr4a2	23	4500	483	2273	[2269, 2273, 2262, 0]	[0.01595722787203318, 0.8927173674246739, 2.093960456068113e-15, 0.09132540470329063]
Satb1	33	4500	397	2279	[2279, 2259, 2277, 0]	[0.9885910677906536, 1.2111134789494078e-10, 3.08325391512533e-166, 0.011408932088234904]
Crym	10	4503	401	2279	[2279, 2259, 2277, 0]	[0.893525799496069, 1.1327574547666889e-08, 1.2506193785925252e-175, 0.10647418917635662]
Enc1	12	4505	498	2273	[2273, 2269, 2262, 0]	[0.9835668417147981, 1.0916258886951629e-14, 7.416842898717062e-15, 0.016433158285183453]
Rgs4	31	4505	489	2273	[2269, 2273, 2262, 0]	[6.245012851486893e-08, 0.9878669563421868, 4.207663525865073e-17, 0.012132981207684806]
Satb1	33	4506	470	2269	[2269, 2273, 2262, 0]	[0.8898516749044224, 0.002910376409307205, 2.4071315457671237e-33, 0.10723794868627043]
Kctd12	17	4508	486	2273	[2269, 2273, 2262, 0]	[4.4372523277670807e-07, 0.9656134041453776, 5.2200764977143414e-21, 0.03438615212938959]
Sst	37	4508	392	2279	[2279, 2259, 2277, 0]	[0.9997348854351293, 2.61554357283894e-15, 1.0982216569204993e-131, 0.0002651145648679857]
Zcchc12	40	4509	399	2279	[2279, 2259, 2277, 0]	[0.9755189822816265, 6.377480469143102e-11, 7.904536117874238e-156, 0.024481017654598633]
Scg2	34	4510	494	2273	[2273, 2269, 2262, 0]	[0.9788041349971033, 1.0715850109977762e-13, 4.9489845968035684e-20, 0.021195865002789607]
Neurod6	21	4510	480	2273	[2269, 2273, 2262, 0]	[2.283237556395488e-05, 0.9861028839904588, 1.5974482831664015e-27, 0.013874283633977252]
Sst	37	4510	386	2279	[2279, 2277, 2259, 0]	[0.9995123703088556, 1.5227645915322382e-106, 3.06973642402876e-18, 0.00048762969114428173]
Neurod6	21	4511	495	2273	[2273, 2269, 2262, 0]	[0.9953514616152809, 1.4681858753103162e-15, 2.2288836659163486e-21, 0.004648538384717454]
Crym	10	4511	486	2273	[2273, 2269, 2262, 0]	[0.993111206341291, 2.3161905871708156e-09, 8.206451446339928e-25, 0.0068887913425184424]
Neurod6	21	4511	439	0	[2279, 2259, 2269, 0]	[0.00016799266424973898, 4.401217154070001e-11, 3.587362446478354e-15, 0.9998320072917345]
Sst	37	4512	397	2279	[2279, 2259, 2277, 0]	[0.9997437909341919, 3.4561759286761875e-14, 1.3473932913766938e-144, 0.0002562090657735451]
Reln	30	4513	401	2279	[2279, 2259, 2277, 0]	[0.99093201216199, 1.4324482733451888e-11, 3.925313303592215e-158, 0.009067987823685434]
Bcl11b	3	4515	416	2279	[2279, 2259, 2269, 0]	[0.7130624177711944, 1.3670613872900565e-08, 4.050234363826958e-46, 0.28693756855819175]
Sst	37	4515	397	2279	[2279, 2259, 2277, 0]	[0.9997215819024473, 6.791520001756115e-15, 3.6151125879911783e-140, 0.00027841809754580813]
Sst	37	4515	389	2279	[2279, 2277, 2259, 0]	[0.9995105738438383, 9.175151923234707e-110, 1.1354593020324479e-17, 0.0004894261561616561]
Neurod6	21	4517	458	0	[2269, 2273, 2279, 0]	[3.8546699711513726e-06, 7.431168399695897e-05, 5.32979168877537e-09, 0.9999218283162403]
Neurod6	21	4518	492	2273	[2273, 2269, 2262, 0]	[0.9968884708142822, 2.7188199423486595e-18, 2.2531198613355665e-30, 0.003111529185717925]
Pcp4	26	4519	391	2279	[2279, 2277, 2259, 0]	[0.9419905519400494, 4.016027732493217e-110, 7.59847932502426e-16, 0.05800944805994967]
Cplx2	8	4519	366	0	[2277, 2279, 2301, 0]	[2.565854701260968e-37, 0.05802637223295119, 1.454453962471595e-208, 0.9419736277670488]
Reln	30	4520	399	2279	[2279, 2259, 2277, 0]	[0.9891014258396607, 4.510246101859744e-14, 1.3938554431815576e-140, 0.010898574160294232]
Rgs4	31	4521	494	2274	[2273, 2269, 2274, 0]	[0.3298462922757275, 1.0267189933194668e-22, 0.6656608008384323, 0.004492906885840305]
Neurod6	21	4522	497	2274	[2273, 2269, 2274, 0]	[0.30970943349315166, 2.2093162478249572e-26, 0.687362138615384, 0.0029284278914644343]
Pde1a	27	4522	487	2273	[2273, 2269, 2274, 0]	[0.9936017188612435, 3.797112267397443e-18, 0.0013243351553432713, 0.0050739459834132005]
Cdh13	6	4523	411	2279	[2279, 2259, 2269, 0]	[0.9648641132931446, 2.3373295909485083e-13, 9.169081463360804e-58, 0.03513588670662177]
Crhbp	9	4524	416	2279	[2279, 2259, 2269, 0]	[0.9754998951399513, 4.594731941624374e-14, 3.7099422796415907e-50, 0.024500104860002755]
Sema3c	35	4524	329	2277	[2277, 2301, 2293, 0]	[0.9923016836420075, 1.5141315238727436e-140, 9.045639454245441e-44, 0.007698316357992475]
Reln	30	4525	410	2279	[2279, 2259, 2269, 0]	[0.9815733168949492, 3.071548340597542e-14, 1.0471726530385062e-60, 0.01842668310502014]
Fam19a1	13	4526	497	2274	[2273, 2269, 2274, 0]	[0.10284174167475932, 1.285004698628002e-30, 0.8921122734544434, 0.005045984870797269]
Pde1a	27	4526	446	0	[2279, 2269, 2273, 0]	[0.00024420970295987993, 1.6739715800823307e-17, 8.715972508740897e-11, 0.9997557902098804]
Cplx2	8	4527	442	0	[2279, 2269, 2273, 0]	[0.008431529724546713, 9.347129012043134e-21, 1.8148372941960655e-13, 0.9915684702752717]
